,hotel_name,id,hotel_price,hotel_nreview,hotel_one_review,hotel_rating,great_for_walker_rating,restaurants_nearby,nearby_attractions,ranking,description,location_rating,cleanliness_rating,service_rating,value_rating,QA_number,room_tips_number
110,907 Main,property_19908519,373,4,"Mid-range hotel featuring city-view rooms with a rooftop terrace, a rooftop bar and evening entertainment.",5.0,100.0,65.0,12.0,#20 of 21 hotels in Cambridge,"Our Commitment to You. Our Commitment to Clean.

As we welcome you, we are committed to providing you with a safe environment that aligns with expert protocols working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our team is redefining our cleaning and safety standards. We will continue to monitor and evolve our solutions to ensure a continued focus on the health and safety of our guests and associates.",5.0,5.0,5.0,5.0,0.0,1.0
111,The Groton Inn,property_12995682,239,62,"Charming business-friendly hotel offering a fitness center, bike rentals and free breakfast.",4.5,53.0,11.0,2.0,,"Overlooking the picturesque rolling hills of Groton, MA, just 35 miles from Boston, The Groton Inn opened its doors in May 2018 to regain its stature as one of the most prominent lodging establishments in New England. America’s oldest inn, the original structure (circa 1678) was destroyed by fire in 2011 and has been meticulously re-imagined as a new 60-room hotel – echoing a legacy of three centuries of gracious hospitality while featuring modern amenities and world class service.",5.0,5.0,4.5,4.5,0.0,11.0
112,Garden Gables Inn,property_77772,175,645,"Pleasant eco-friendly hotel offering serene inviting rooms with a picnic area, free breakfast and an outdoor pool.",5.0,64.0,13.0,14.0,#2 of 17 hotels in Lenox,"Garden Gables Inn is committed to making your stay enjoyable, healthy and safe.  We are implementing all required federal, state and local health and safety guidelines, and also adopting additional industry best practices, including the guidelines of the SafeStayTM initiative of the American Hospitality and Lodging Association.  

All guests are required to wear masks or other appropriate facial coverings, and follow recommended social distancing protocols in the public areas of the Inn.  Staff will wear masks at all times, and also gloves when cleaning public and guest rooms.  We have hand sanitizer available and encourage its use.  

We have modified operations, such as breakfast service and housekeeping.  We will still offer our made-to-order breakfast, but have eliminated the breakfast buffet.  Daily housekeeping will be done during your stay, only with special arrangement. 

For additional information please contact us or visit our website:  <a data-encoded-url=""SThyX2h0dHA6Ly93d3cuZ2FyZGVuZ2FibGVzaW5uLmNvbV9NUkE="" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""http://www.gardengablesinn.com"">www.gardengablesinn.com</a>.",5.0,5.0,5.0,4.5,2.0,100.0
113,Fairfield Inn & Suites by Marriott Williamstown,property_16875096,222,18,"Mid-priced hotel offering a bar, a hot tub and skiing.",4.0,52.0,12.0,4.0,#11 of 15 hotels in Williamstown,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""WGpLX2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5fcFlD"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",5.0,4.5,4.0,3.5,5.0,1.0
114,"Crowne Pointe Historic Inn, Spa & Restaurant",property_77862,206,934,"Enchanting high-end hotel offering elegant rooms with a pool, a concierge and a bar.",4.5,100.0,71.0,55.0,#3 of 15 hotels in Provincetown,"Escape to our historic 4 Diamond inn in Provincetown, steps to shops, restaurants, galleries, and the beach. A couple of blocks away from world famous whale watching. Our inspired Provincetown lodging includes 40 rooms in 6 historic buildings enveloping a beautiful pool courtyard. Enjoy unforgettable massages and treatments at our award-winning spa or enjoy amazing cuisine at our romantic Pointe Restaurant at our Provincetown hotel. Experience luxurious rooms and suites with fireplaces, whirlpool tubs, private decks, and wonderful views that rival all other hotels in Provincetown, MA!",5.0,4.5,4.5,4.0,11.0,100.0
115,Boston Marriott Peabody,property_89807,206,546,"Contemporary rooms in a modern business-friendly hotel with a hot tub, a convenience store and a bar.",4.0,0.0,0.0,0.0,#4 of 8 hotels in Peabody,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""WFp5X2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5fNHd5"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",4.0,4.0,4.0,4.0,9.0,76.0
116,The Coonamessett,property_115009,169,62,"Quaint mid-range hotel featuring contemporary rooms, beach access and a bar.",4.0,53.0,66.0,16.0,#17 of 20 hotels in Falmouth,"The Coonamessett is the perfect vacation spot and Cape Cod wedding venue. In the heart of the historic village of Falmouth, Massachusetts, we have everything you need to for a getaway to the cape and islands. Comprised of five separate buildings, we have plenty of room for guests looking for a New England vacation, Cape Cod destination wedding, or simply a quick getaway from Boston.",4.5,4.5,4.0,3.5,5.0,15.0
117,Hampton Inn Cape Cod Canal,property_17725523,139,34,"Business-friendly hotel with a pool, free internet and free breakfast.",4.5,56.0,20.0,6.0,#1 of 6 hotels in Buzzards Bay,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",5.0,5.0,4.5,4.5,1.0,5.0
118,Hyatt Place Boston/Seaport District,property_20403958,169,11,“The seaport area is also great for resturants and beer lover...”,4.0,90.0,31.0,4.0,#88 of 96 hotels in Boston,"Located in Boston, 2.5 km from Carson Beach, Hyatt Place Boston/Seaport District provides accommodation with a restaurant, private parking and a fitness centre. Located around 1.",4.5,4.5,4.5,4.0,0.0,0.0
119,Hotel Indigo Boston Garden,property_1138709,152,102,"Contemporary rooms in a quiet mid-range hotel located in West End featuring free wifi, a fitness center and a restaurant.",4.0,100.0,88.0,17.0,#85 of 96 hotels in Boston,"A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit <a data-encoded-url=""MDlwX2h0dHBzOi8vd3d3LmloZy5jb20vY29udGVudC91cy9lbi9jdXN0b21lci1jYXJlL2NsZWFuLXByb21pc2UuXzlCZA=="" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://www.ihg.com/content/us/en/customer-care/clean-promise."">https://www.ihg.com/content/us/en/customer-care/clean-promise.</a>",4.5,4.0,4.0,4.0,20.0,17.0
120,Copley House,property_120977,255,944,"Located in Back Bay, this quaint family-friendly hotel features free wifi and in-room kitchenettes.",3.5,100.0,89.0,23.0,#72 of 96 hotels in Boston,"The Copley House is your home away from home in Boston, MA. We offer affordable lodging in fully furnished apartments at daily and weekly rates.",4.5,4.0,4.0,4.0,40.0,100.0
121,Comfort Inn & Suites,property_89880,110,544,"Tranquil family-friendly hotel offering magnificent rooms with skiing, a hot tub and a restaurant.",4.5,0.0,0.0,0.0,#2 of 14 hotels in Sturbridge,"Choice Hotels takes pride in its hotels’ long-standing dedication to cleanliness, including our 150+ point cleanliness checklist already on every housekeeping cart as part of the Room Condition &amp; Cleanliness program.  

As part of the Commitment to Clean initiative, Choice Hotels has provided our franchisees additional educational resources - enhanced best practices and extensive cleaning, disinfecting, hygiene, and social distancing best practices and protocols - leveraging partnerships with industry leaders and providing hotels with the latest resources and training. 

In addition, every Choice-branded hotel will designate a “Commitment to Clean Captain,” who will complete best-in-class cleanliness training and will be responsible for incorporating the new protocols into their hotel’s operations. 

Choice is a signatory to the U.S. Travel Association’s Industry Guidelines to Ensure the Health and Safety of Travelers.",4.5,4.5,4.5,4.5,11.0,100.0
122,Boston Marriott Newton,property_89789,200,900,"Stately river-view rooms in a picturesque mid-range hotel with a patio, a restaurant and a pool.",3.5,0.0,0.0,0.0,#1 of 4 hotels in Newton,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""OTJ6X2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5fZHJa"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",4.0,4.0,4.0,3.5,37.0,100.0
123,Concord's Colonial Inn,property_89663,199,757,"Down-to-earth contemporary rooms in a quaint business-friendly hotel with shops, breakfast and bike rentals.",4.0,78.0,11.0,12.0,#2 of 3 hotels in Concord,"Concord’s Colonial Inn is a charming historic inn with 56 fully appointed guest rooms and suites, classic New England cuisine with a contemporary twist, two historic Taverns featuring live music and entertainment, and numerous private meeting rooms for events from four people to over one hundred people. With free parking and WiFi, we’re the best place for you to plan your next family event, meeting, or New England getaway.",4.5,4.5,4.0,3.5,5.0,100.0
124,The Revolution Hotel,property_111413,141,393,"Located in South End, this budget hotel offers chic rooms, breakfast and a concierge.",4.5,100.0,79.0,12.0,#15 of 96 hotels in Boston,"Catering to creative, adventurous, out-of-the-box travelers, The Revolution Hotel features several room types: Studio Suites for business travelers; Triple and Quad rooms with shared private bathrooms for groups of friends; and Premium King accommodations with en-suite bathrooms for couples, among others. A welcoming two-story lobby and garden level work space will serve as areas for guests and locals to gather and exchange ideas. An impressive 5,000 square foot food &amp; beverage operation with expansive outdoor dining is destined to become a destination in and of itself.",5.0,4.5,4.5,4.5,10.0,35.0
125,Hampton Inn and Suites Boston/Waltham,property_13355367,195,258,"Modern family-friendly hotel featuring contemporary rooms with free breakfast, free internet and a pool.",4.5,41.0,17.0,0.0,#2 of 14 hotels in Waltham,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.5,5.0,4.5,4.5,2.0,17.0
126,Sonesta ES Suites Andover,property_223418,126,448,"Contemporary rooms in a tranquil business-friendly hotel with shops, free breakfast and an outdoor pool.",4.5,0.0,0.0,0.0,#1 of 7 hotels in Andover,"Sonesta is committed to providing a safe and secure environment for our guests, visitors and employees. Working with our primary partner, Ecolab, we have created Stay Safe with Sonesta – a program that exceeds all CDC, WHO, and governmental requirements and recommendations related to the Coronavirus pandemic. This program will evolve as we continue to update our procedures and protocols to ensure our standards maintain the most relevant levels of protection for our guests and employees.
 
Hotel team members have received training to ensure they are ready to deliver at the higher standards we’ve set including the following areas: 

Guest Protection &amp; Social Distancing
Cleanliness &amp; Disinfection Protocols
Employee Safety &amp; Preparedness
Guest Room Modifications for Safety 
Group &amp; Meeting Space Protocols 
 
Sonesta is a participant in the Safe Stay initiative created by the American Hotel &amp; Lodging Association.

<a data-encoded-url=""dTViX2h0dHA6Ly9zb25lc3RhLmNvbS9zdGF5c2FmZV9wc1g="" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""http://sonesta.com/staysafe"">sonesta.com/staysafe</a>",4.5,4.5,4.5,4.5,6.0,47.0
127,Hyatt Regency Boston Harbor,property_89620,144,3477,"Scenic mid-priced hotel in Jeffries Point offering spacious river-view rooms with a sun terrace, a bar and a fitness center.",4.5,63.0,73.0,18.0,#35 of 96 hotels in Boston,"Effective August 1, 2020, per the Commonwealth of Massachusetts Covid-19 response, anyone entering Massachusetts from other states will be required to fill out a new ""Massachusetts Travel Form"" and quarantine for two weeks unless they can produce a negative result from a COVID-19 test administered no more than 72-hours before they arrived in the state. Individuals coming from low-risk states are exempt. Those states include New York, New Jersey, Connecticut, Maine, Vermont, New Hampshire and Hawaii.
Other limited exemptions apply to those who are just passing through Massachusetts, commuting across state lines for work, those arriving here for medical treatment, military personnel traveling under orders and those who are traveling for work in essential services.
•	Parking is $46 per night for self-parking and valet is currently unavailable at this time.
•	If arriving from the airport, we recommend that you arrange for shared ride service (Uber/Lyft) or taxi pool available at each termi",4.5,4.5,4.5,4.0,69.0,100.0
128,Hampton Inn & Suites Springfield/Downtown,property_7780554,139,589,"Modern mid-priced hotel offering contemporary rooms with a breakfast buffet, a convenience store and a fitness center.",4.5,78.0,54.0,14.0,#1 of 9 hotels in Springfield,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.5,4.5,4.5,4.5,6.0,37.0
129,Best Western Plus North Shore Hotel,property_126071,140,251,"Quiet mid-range hotel with free breakfast, free internet and a heated pool.",4.5,51.0,401.0,54.0,#1 of 9 hotels in Danvers,"Welcome to the Best Western Plus North Shore Hotel, a Danvers hotel in the Greater Boston area conveniently located just 15 miles north of Boston and seven miles from historic Salem.",4.5,4.5,4.5,4.5,22.0,14.0
130,Hyatt Regency Boston,property_111441,196,5134,"Located in Downtown, this urban business-friendly hotel with airy stately rooms offers a restaurant, a gift shop and a pool.",4.0,100.0,294.0,65.0,#42 of 96 hotels in Boston,"Effective August 1, 2020, per the Commonwealth of Massachusetts Covid-19 response, anyone entering Massachusetts from other states will be required to fill out a new ""Massachusetts Travel Form"" and quarantine for two weeks unless they can produce a negative result from a COVID-19 test administered no more than 72-hours before they arrived in the state.Individuals coming from low-risk states are exempt. Those states include New York, New Jersey, Connecticut, Maine, Rhode Island, Vermont, New Hampshire and Hawaii.

Other limited exemptions apply to those who are just passing through Massachusetts, commuting across state lines for work, those arriving here for medical treatment, military personnel traveling under orders and those who are traveling for work in essential services.

Some aspects of our hotel will remain closed during your stay. Currently, this includes F&amp;B Outlets, Valet Parking, Pool and Fitness Center areas until we are given further direction to re-open. Self-Parking is a",4.5,4.5,4.5,4.0,71.0,100.0
131,Best Western Rockland,property_89834,149,675,"Welcoming business-friendly hotel with a breakfast buffet, free wifi and a fitness center.",4.5,45.0,14.0,0.0,#2 of 3 hotels in Rockland,"The BEST WESTERN Rockland is perfectly located between historic Boston and Cape Cod on Route 3, ideal for business &amp; leisure travelers, a home away from home. Now Under New Ownership &amp; Management. Newly Renovated Lobby, Public Areas, Fitness Center with Brand New Equipment &amp; Serving Hot/Continental Breakfast, Flat Screen TVs. Our Hotel is minutes from the Braintree Red Line Subway Station, The Hanover Mall &amp; Derby Street Mall are within 3 miles. Area attractions nearby include the New England Aquarium, Fenway Park, the Freedom Trail, JFK Library, Museum of Science and Faneuil Hall Marketplace, one of America's most famous shopping and dining experiences, Harbor Cruises &amp; Whale Watching, Boston Plymouth Plantation, Boston National Historical Park, South Shore Plaza In Braintree, Wrentham Factory Shopping Outlet, Birth Place &amp; Home of John Adams in Quincy. For that avid golfer, there are many golf clubs in the area such as Rockland Golf course, Pembroke Country Club and Scituate Country Club to name a few. Several malls, shops, restaurants and cocktail lounges are located in the immediate vicinity. A perfect way to start your day is with our complimentary full hot breakfast with a choice of hot items, eggs, yogurt, fresh fruit, cereal and more, including hot waffle flavors! Our hotel provides business travelers with conveniences like access to copy and fax services. Our Mayflower Meeting room accommodates up to 60 people ideal for meetings &amp; conferences. We are in close proximity to Assinippi Industrial Park and Hingham Corporate Center. All spacious guest rooms include irons, ironing boards, hair dryers, coffee makers and cable television. Microwaves and refrigerators are in some rooms. We are 100% Smoke Free &amp; are in a continuous effort to be so. Harvard, Cambridge MIT, Stonehill College, Bridgewater State College, Milton Academy, are major educational area attractions. For an unforgettable adventure, book a stay at the BEST WESTERN Rockland today. General Hotel Information: Check-In: 3PM (15:00) Check-Out: 11AM (11:00) Hotel Ratings: AAA-2 Diamond Pet Policy: Pets not accepted. More&gt; Guest Rooms: null Cable satellite television with HBO® AM/FM alarm clock Coffee/tea maker Microwave available More Area Information: 3.00 mile(s) from Derby Street Mall 7.00 mile(s) from John Adams Birthplace, President's birthplace and home 9.00 mile(s) from Nantasket Beach 11.00 mile(s) from South Shore Plaza, shopping mall 12.00 mile(s) from JFK Library, portrays life, leadership and legacy of President Kennedy More.",4.5,4.5,4.5,4.5,6.0,77.0
132,Hotel on North,property_8144887,159,723,"Romantic mid-range hotel featuring chic rooms, a restaurant and a fitness center.",5.0,97.0,38.0,10.0,#2 of 8 hotels in Pittsfield,"Hotel on North is a 45-room boutique hotel that steers clear of uniformity and celebrates character in every way. We’ve used a modern lens to honor the historic buildings we call home, so while whispers of the past echo through the corridors, the vibrant spirit of the hotel draws its life force from the present. Stay. Eat. Drink. Play. Work. Gather...on North.",4.5,5.0,5.0,4.5,7.0,100.0
133,Hampton Inn & Suites Berkshires-Lenox,property_1041960,109,1095,"Scenic business-friendly hotel offering contemporary rooms with hiking, a breakfast buffet and a heated pool.",4.5,47.0,17.0,3.0,#3 of 17 hotels in Lenox,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.5,5.0,4.5,4.5,13.0,100.0
134,Four Points by Sheraton Wakefield Boston Hotel & Conference Center,property_219438,149,534,"Tranquil business-friendly hotel offering contemporary rooms with boating, breakfast and a gift shop.",4.5,57.0,25.0,5.0,#1 of 2 hotels in Wakefield,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""S1l0X2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5fcUdP"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",4.5,4.5,4.5,4.0,5.0,89.0
135,Essex Street Inn & Suites,property_621116,94,612,"Stately contemporary rooms in an intimate business-friendly hotel with free wifi, a breakfast buffet and a hot tub.",4.5,92.0,51.0,16.0,#1 of 2 hotels in Newburyport,"Pre-Packaged Grab &amp; Go breakfast options. Housekeeping services available upon request only, UV wand sanitation of all guest rooms prior to check in",5.0,4.5,4.5,4.0,7.0,100.0
136,"The Black Swan Lee - Lenox, Ascend Hotel Collection",property_1146989,102,732,"Lake-view rooms in a lovely business-friendly hotel with canoes, a fitness center and a breakfast buffet.",4.5,0.0,0.0,0.0,#3 of 9 hotels in Lee,"Choice Hotels takes pride in its hotels’ long-standing dedication to cleanliness, including our 150+ point cleanliness checklist already on every housekeeping cart as part of the Room Condition &amp; Cleanliness program.  

As part of the Commitment to Clean initiative, Choice Hotels has provided our franchisees additional educational resources - enhanced best practices and extensive cleaning, disinfecting, hygiene, and social distancing best practices and protocols - leveraging partnerships with industry leaders and providing hotels with the latest resources and training. 

In addition, every Choice-branded hotel will designate a “Commitment to Clean Captain,” who will complete best-in-class cleanliness training and will be responsible for incorporating the new protocols into their hotel’s operations. 

Choice is a signatory to the U.S. Travel Association’s Industry Guidelines to Ensure the Health and Safety of Travelers.",4.5,4.5,4.5,4.0,15.0,100.0
137,Comfort Inn & Suites Boston Logan International Airport,property_124191,135,1346,"Quiet mid-range hotel featuring contemporary rooms with a convenience store, a pool and free breakfast.",4.5,42.0,71.0,1.0,#1 of 8 hotels in Revere,"Choice Hotels takes pride in its hotels’ long-standing dedication to cleanliness, including our 150+ point cleanliness checklist already on every housekeeping cart as part of the Room Condition &amp; Cleanliness program.  

As part of the Commitment to Clean initiative, Choice Hotels has provided our franchisees additional educational resources - enhanced best practices and extensive cleaning, disinfecting, hygiene, and social distancing best practices and protocols - leveraging partnerships with industry leaders and providing hotels with the latest resources and training. 

In addition, every Choice-branded hotel will designate a “Commitment to Clean Captain,” who will complete best-in-class cleanliness training and will be responsible for incorporating the new protocols into their hotel’s operations. 

Choice is a signatory to the U.S. Travel Association’s Industry Guidelines to Ensure the Health and Safety of Travelers.",4.0,4.5,4.5,4.5,32.0,100.0
138,Hampton Inn & Suites Boston/Stoughton,property_12689480,124,192,"Contemporary rooms in a modern mid-priced hotel with free breakfast, a heated pool and a concierge.",4.5,0.0,0.0,0.0,#1 of 2 hotels in Stoughton,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.5,4.5,4.5,4.5,0.0,7.0
139,Courtyard Boston Woburn/Boston North,property_254774,111,650,"Tranquil mid-priced hotel with a fitness center, a restaurant and a concierge.",4.5,0.0,0.0,0.0,#1 of 13 hotels in Woburn,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""TjVUX2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5fQms5"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",4.0,4.5,4.5,4.0,8.0,100.0
